12 Angry Men (1957)	5.0
20,000 Leagues Under the Sea (1954)	3.0
2001: A Space Odyssey (1968)	4.0
Air Bud (1997)	1.0
Aladdin (1992)	4.0
Aliens (1986)	5.0
Amadeus (1984)	5.0
Antonia's Line (1995)	5.0
Apollo 13 (1995)	4.0
Austin Powers: International Man of Mystery (1997)	4.0
Babe (1995)	1.0
Back to the Future (1985)	5.0
Batman Forever (1995)	1.0
Batman Returns (1992)	1.0
Beavis and Butt-head Do America (1996)	3.0
Bedknobs and Broomsticks (1971)	2.0
Belle de jour (1967)	3.0
Big Night (1996)	5.0
Billy Madison (1995)	2.0
Birdcage, The (1996)	4.0
Blade Runner (1982)	5.0
Bram Stoker's Dracula (1992)	3.0
Braveheart (1995)	4.0
Breakfast at Tiffany's (1961)	1.0
Bridge on the River Kwai, The (1957)	4.0
Brother Minister: The Assassination of Malcolm X (1994)	4.0
Brothers McMullen, The (1995)	3.0
Cable Guy, The (1996)	3.0
Chasing Amy (1997)	5.0
Clerks (1994)	5.0
Clockwork Orange, A (1971)	3.0
Cold Comfort Farm (1995)	3.0
Copycat (1995)	3.0
Crow, The (1994)	4.0
Crumb (1994)	5.0
Cyrano de Bergerac (1990)	5.0
D3: The Mighty Ducks (1996)	1.0
Dead Man Walking (1995)	5.0
Devil's Own, The (1997)	2.0
Diabolique (1996)	4.0
Die Hard (1988)	4.0
Disclosure (1994)	4.0
Doom Generation, The (1995)	2.0
Eat Drink Man Woman (1994)	5.0
Empire Strikes Back, The (1980)	5.0
Exotica (1994)	4.0
Firm, The (1993)	4.0
Fish Called Wanda, A (1988)	3.0
Four Rooms (1995)	4.0
Free Willy 2: The Adventure Home (1995)	1.0
French Twist (Gazon maudit) (1995)	5.0
Frighteners, The (1996)	4.0
Fugitive, The (1993)	4.0
Full Monty, The (1997)	5.0
Gattaca (1997)	5.0
Get Shorty (1995)	3.0
Godfather, The (1972)	5.0
Godfather: Part II, The (1974)	4.0
GoldenEye (1995)	3.0
Gone with the Wind (1939)	4.0
GoodFellas (1990)	4.0
Graduate, The (1967)	5.0
Haunted World of Edward D. Wood Jr., The (1995)	5.0
Heavy Metal (1981)	2.0
Home Alone (1990)	2.0
Hoop Dreams (1994)	5.0
Jaws (1975)	4.0
Jean de Florette (1986)	5.0
Jerry Maguire (1996)	2.0
Jude (1996)	2.0
Lion King, The (1994)	3.0
Lone Star (1996)	5.0
Long Kiss Goodnight, The (1996)	3.0
Love Bug, The (1969)	3.0
M*A*S*H (1970)	3.0
Madness of King George, The (1994)	4.0
Manon of the Spring (Manon des sources) (1986)	5.0
Maya Lin: A Strong Clear Vision (1994)	5.0
Men in Black (1997)	4.0
Mighty Aphrodite (1995)	5.0
Mirror Has Two Faces, The (1996)	3.0
Monty Python and the Holy Grail (1974)	5.0
Mr. Holland's Opus (1995)	5.0
Mr. Smith Goes to Washington (1939)	3.0
Much Ado About Nothing (1993)	3.0
Muppet Treasure Island (1996)	1.0
Mystery Science Theater 3000: The Movie (1996)	5.0
Nadja (1994)	2.0
Net, The (1995)	3.0
Nikita (La Femme Nikita) (1990)	5.0
On Golden Pond (1981)	4.0
Operation Dumbo Drop (1995)	1.0
Patton (1970)	3.0
Priest (1994)	5.0
Princess Bride, The (1987)	5.0
Private Benjamin (1980)	2.0
Professional, The (1994)	5.0
Quiz Show (1994)	4.0
Raging Bull (1980)	4.0
Raising Arizona (1987)	4.0
Reservoir Dogs (1992)	4.0
Return of the Jedi (1983)	5.0
Santa Clause, The (1994)	2.0
Searching for Bobby Fischer (1993)	5.0
Seven (Se7en) (1995)	2.0
Sgt. Bilko (1996)	2.0
Shall We Dance? (1996)	4.0
Sleeper (1973)	5.0
Sleepless in Seattle (1993)	4.0
Sling Blade (1996)	5.0
Smilla's Sense of Snow (1997)	2.0
Sneakers (1992)	4.0
Snow White and the Seven Dwarfs (1937)	3.0
Spitfire Grill, The (1996)	2.0
Star Wars (1977)	5.0
Starship Troopers (1997)	2.0
Steel (1997)	1.0
Sting, The (1973)	4.0
Terminator, The (1984)	5.0
Three Colors: Red (1994)	5.0
To Wong Foo, Thanks for Everything! Julie Newmar (1995)	3.0
Toy Story (1995)	5.0
Truth About Cats & Dogs, The (1996)	5.0
Turbo: A Power Rangers Movie (1997)	1.0
Twelve Monkeys (1995)	4.0
Unforgiven (1992)	4.0
Unhook the Stars (1996)	4.0
Weekend at Bernie's (1989)	3.0
Welcome to the Dollhouse (1995)	5.0
When Harry Met Sally... (1989)	5.0
When the Cats Away (Chacun cherche son chat) (1996)	4.0
While You Were Sleeping (1995)	4.0
White Balloon, The (1995)	4.0
Wrong Trousers, The (1993)	5.0
